time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-23T20:25:33.549Z,35.52916667,-96.76733333,6.97,1.67,ml,66,60,0.1241756325,0.28,ok,ok2023oilo,2024-01-18T20:32:49.022Z,"8 km WNW of Prague, Oklahoma",earthquake,,0.6,0.11,8,reviewed,ok,ok
2023-07-23T20:24:33.963Z,31.47359599,-103.9969479,5.925903319999999,2,ml,20,67,0.06953324831,0.3,tx,tx2023oiln,2023-07-25T20:16:09.296Z,"26 km NW of Toyah, Texas",earthquake,1.292236253,1.305964192,0,6,reviewed,tx,tx
2023-07-23T20:20:25.860Z,54.2052,-160.72,35,2.7,ml,13,220,0.91,0.72,us,us6000kwii,2023-09-30T21:36:33.040Z,"126 km S of Sand Point, Alaska",earthquake,3.88,2.001,0.148,6,reviewed,us,us
2023-07-23T20:09:16.205Z,64.5903,-147.7737,8.1,0.7,ml,,,,0.63,ak,ak0239dplfiw,2023-07-30T23:53:47.393Z,"24 km S of South Van Horn, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2023-07-23T20:08:36.972Z,53.5901,-165.0247,39.7,1.6,ml,,,,0.19,ak,ak0239dpl9f5,2023-07-29T16:12:03.425Z,"78 km SE of Akutan, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2023-07-23T20:00:19.421Z,58.7429,-153.7002,4.9,1.2,ml,,,,0.64,ak,ak0239dpjibv,2023-07-29T16:11:59.007Z,"Kodiak Island region, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T19:58:18.474Z,64.5825,-147.788,9.7,0.7,ml,,,,0.65,ak,ak0239dpai8o,2023-07-29T16:11:58.796Z,"25 km S of South Van Horn, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T19:52:49.970Z,45.628,-112.299166666667,4.98,0.16,ml,8,126,0.2214,0.14,mb,mb90022458,2023-07-25T22:12:10.540Z,"9 km NNE of Twin Bridges, Montana",earthquake,0.49,9.36,0.16274766140991,2,reviewed,mb,mb
2023-07-23T19:50:47.715Z,54.5752,-161.0404,25.5,1.8,ml,,,,0.96,ak,ak0239dp8vdi,2023-07-29T16:11:58.604Z,"91 km SSW of Sand Point, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2023-07-23T19:49:22.420Z,58.1798333333333,-155.334666666667,2.03,0.51,ml,11,57,,0.1,av,av91974911,2023-07-29T16:10:32.488Z,"85 km NW of Karluk, Alaska",earthquake,0.22,0.43,0.253229679005356,12,reviewed,av,av
2023-07-23T19:48:38.790Z,19.1439990997314,-155.495498657227,32.8499984741211,2.02999997,md,36,153,,0.109999999,hv,hv73494427,2023-07-23T19:51:52.660Z,"6 km SSW of Pāhala, Hawaii",earthquake,0.7,1.14999998,1.63,10,automatic,hv,hv
2023-07-23T19:46:27.100Z,32.5823333,-115.6548333,9.98,1.25,ml,19,68,0.0762,0.15,ci,ci39619986,2023-07-24T20:40:35.696Z,"7km W of Progreso, B.C., MX",earthquake,0.26,0.5,0.235,9,reviewed,ci,ci
2023-07-23T19:42:25.227Z,40.1007,-119.841,13.4,0.2,ml,3,234.6,0.109,0.014,nn,nn00864290,2023-08-10T22:06:29.910Z,"23 km ENE of Doyle, California",earthquake,,4.2,0.57,3,reviewed,nn,nn
2023-07-23T19:37:42.060Z,58.2585,-155.134166666667,32.9,0.27,ml,14,81,,0.17,av,av91974896,2023-07-29T16:10:30.367Z,"86 km NNW of Karluk, Alaska",earthquake,0.55,0.83,0.278884896909254,15,reviewed,av,av
2023-07-23T19:37:26.626Z,12.7817,-88.2548,76.868,4.8,mww,186,108,0.686,0.86,us,us7000khus,2023-09-30T21:36:39.040Z,"50 km SSW of Chirilagua, El Salvador",earthquake,5.83,4.159,0.053,34,reviewed,us,us
2023-07-23T19:35:34.434Z,51.3102,179.9645,64.682,2.7,ml,19,204,0.421,0.3,us,us6000kwih,2023-09-30T21:36:33.040Z,"243 km WSW of Adak, Alaska",earthquake,4.38,5.75,0.085,18,reviewed,us,us
2023-07-23T19:35:11.701Z,28.0837,-112.1731,10,4.1,mb,40,132,0.763,0.59,us,us7000khur,2023-09-30T21:36:39.040Z,"82 km N of Santa Rosalía, Mexico",earthquake,6.45,1.953,0.08,43,reviewed,us,us
2023-07-23T19:32:10.540Z,40.2271667,-121.1693333,3.97,2.08,md,28,50,0.0275,0.15,nc,nc73915836,2023-07-24T21:08:11.849Z,"1 km NNE of Almanor, CA",earthquake,0.29,0.34,0.187,30,reviewed,nc,nc
2023-07-23T19:28:58.096Z,54.4599,-161.2826,9.6,2,ml,,,,0.7,ak,ak0239dp493j,2023-07-29T16:11:57.746Z,"94 km SE of King Cove, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-07-23T19:24:26.254Z,-3.3398,-79.9724,53.378,4.4,mb,37,118,0.227,0.58,us,us7000khun,2023-09-30T21:36:39.040Z,"8 km SSE of Puerto Bolívar, Ecuador",earthquake,12.01,7.107,0.091,35,reviewed,us,us
2023-07-23T19:24:21.873Z,61.9878,-149.4317,38.8,1,ml,,,,0.58,ak,ak0239dp380g,2023-07-29T16:11:57.941Z,"29 km NNW of Fishhook, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2023-07-23T19:21:36.253Z,53.7725,-164.072,33.635,2.8,ml,22,204,0.764,0.39,us,us6000kwig,2023-09-30T21:36:33.040Z,"118 km ESE of Akutan, Alaska",earthquake,5.27,14.478,0.105,12,reviewed,us,us
2023-07-23T19:21:30.480Z,58.2508333333333,-155.141166666667,5.02,0.52,ml,11,133,,0.24,av,av91974871,2023-07-29T16:10:28.238Z,"86 km NNW of Karluk, Alaska",earthquake,0.45,0.86,0.332187619772448,11,reviewed,av,av
2023-07-23T19:17:14.710Z,35.9383333333333,-91.2836666666667,13.05,1.45,md,5,178,0.1683,0.09,nm,nm60500953,2023-07-24T13:18:43.200Z,"Arkansas",earthquake,0.67,2.11,0.0485220281541645,4,reviewed,nm,nm
2023-07-23T19:12:09.801Z,69.091,-146.9698,7.1,1.4,ml,,,,0.5,ak,ak0239dp0mm9,2023-07-30T23:53:47.198Z,"122 km NNW of Arctic Village, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2023-07-23T19:10:05.270Z,33.7221667,-116.8331667,14.39,0.42,ml,24,101,0.08328,0.14,ci,ci39619970,2023-07-24T20:37:45.100Z,"6km ESE of Valle Vista, CA",earthquake,0.36,0.45,0.12,4,reviewed,ci,ci
2023-07-23T19:09:51.843Z,51.0531,179.377,17.1,2,ml,,,,0.28,ak,ak0239dp02pw,2023-07-30T23:53:48.919Z,"291 km WSW of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-07-23T18:58:50.720Z,39.5826667,-111.5476667,8.04,1.72,ml,19,55,0.22,0.11,uu,uu60546007,2023-07-25T14:42:28.350Z,"7 km NNE of Moroni, Utah",earthquake,0.39,1.45,0.258,9,reviewed,uu,uu
2023-07-23T18:51:04.280Z,31.2576667,-116.817,9.56,2.78,ml,10,270,0.894,0.19,ci,ci39619946,2023-07-24T20:21:42.175Z,"56km SSW of Maneadero, B.C., MX",earthquake,1.05,1.33,0.106,22,reviewed,ci,ci
2023-07-23T18:38:17.229Z,63.7925,-149.3147,113,1.9,ml,,,,0.4,ak,ak0239doks6u,2023-07-29T16:11:57.298Z,"18 km WSW of Healy, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T18:37:50.310Z,58.1761666666667,-155.291333333333,2.35,0.09,ml,11,63,,0.08,av,av91974841,2023-07-29T16:10:23.951Z,"83 km NW of Karluk, Alaska",earthquake,0.17,0.35,0.293275124469617,11,reviewed,av,av
2023-07-23T18:32:02.998Z,51.4138,-178.5364,21.4,2,ml,,,,0.33,ak,ak0239dojgpl,2023-07-29T16:11:57.080Z,"141 km WSW of Adak, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2023-07-23T18:27:36.380Z,56.836,-158.267,8.9,0.77,ml,5,177,,0.07,av,av91974826,2023-07-27T04:04:14.550Z,"60 km N of Chignik, Alaska",earthquake,0.46,0.55,0.216847849608989,5,reviewed,av,av
2023-07-23T18:23:08.997Z,16.0371,-91.2293,10,4.7,mb,226,57,0.905,0.87,us,us7000khuf,2023-09-30T21:36:39.040Z,"13 km SSE of Maravilla Tenejapa, Mexico",earthquake,4.54,1.813,0.031,312,reviewed,us,us
2023-07-23T18:17:15.679Z,59.6138,-136.2487,10.3,1.7,ml,,,,0.61,ak,ak0239doga0g,2023-07-29T16:11:56.898Z,"12 km NW of Mosquito Lake, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-07-23T18:12:12.997Z,58.4557,-153.0232,64.5,1.5,ml,,,,0.44,ak,ak0239dof783,2023-07-29T16:12:03.007Z,"44 km N of Aleneva, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2023-07-23T18:10:01.617Z,61.2609,-147.7115,0,1.6,ml,,,,0.48,ak,ak0239doer0b,2023-07-30T23:53:47.007Z,"61 km S of Glacier View, Alaska",ice quake,,0,,,reviewed,ak,ak
2023-07-23T18:05:24.989Z,28.1123,-112.1679,10,4.1,mb,83,132,0.792,0.66,us,us7000khud,2023-09-30T21:36:39.040Z,"81 km SSW of Bahía de Kino, Mexico",earthquake,6.32,1.948,0.058,83,reviewed,us,us
